name,rank,address,thumbnail,n_ug,page_url,zip,type,year_founded,setting,endowment,completion_rate,annual_cost
Tufts University,29,"Medford, MA",https://www.usnews.com/best-colleges/tufts-university-2219/photos,5508,https://www.usnews.com/best-colleges/tufts-university-2219,02155,"Private, Coed",1852,Suburban,$1.6 billion,0.9347,63358
New York University,30,"New York, NY",https://www.usnews.com/best-colleges/nyu-2785/photos,26135,https://www.usnews.com/best-colleges/nyu-2785,10012,"Private, Coed",1831,Urban,$3.6 billion,0.8386,65405
University of North Carolina--Chapel Hill,30,"Chapel Hill, NC",https://www.usnews.com/best-colleges/unc-2974/photos,18523,https://www.usnews.com/best-colleges/unc-2974,27599,"Public, Coed",1789,Suburban,$2.9 billion,0.9019,23940
Boston College,32,"Chestnut Hill, MA",https://www.usnews.com/best-colleges/boston-college-2128/photos,9309,https://www.usnews.com/best-colleges/boston-college-2128,02467,"Private, Coed",1863,Suburban,$2.1 billion +,0.9242,62968
College of William & Mary,32,"Williamsburg, VA",https://www.usnews.com/best-colleges/william-and-mary-3705/photos,6276,https://www.usnews.com/best-colleges/william-and-mary-3705,23187,"Public, Coed",1693,Suburban,$803.7 million,0.9017,31175
Brandeis University,34,"Waltham, MA",https://www.usnews.com/best-colleges/brandeis-university-2133/photos,3608,https://www.usnews.com/best-colleges/brandeis-university-2133,02454,"Private, Coed",1948,Suburban,$866.8 million,0.8645,63222
Georgia Institute of Technology,34,"Atlanta, GA",https://www.usnews.com/best-colleges/georgia-tech-1569/photos,15489,https://www.usnews.com/best-colleges/georgia-tech-1569,30332,"Public, Coed",1885,Urban,$1.8 billion +,0.8478,24629
University of Rochester,34,"Rochester, NY",https://www.usnews.com/best-colleges/university-of-rochester-2894/photos,6386,https://www.usnews.com/best-colleges/university-of-rochester-2894,14627,"Private, Coed",1850,Suburban,$1.9 billion +,0.882,63268
Boston University,37,"Boston, MA",https://www.usnews.com/best-colleges/boston-university-2130/photos,17944,https://www.usnews.com/best-colleges/boston-university-2130,02215,"Private, Coed",1839,Urban,$1.7 billion,0.8526,63588
Case Western Reserve University,37,"Cleveland, OH",https://www.usnews.com/best-colleges/case-western-reserve-university-3024/photos,5152,https://www.usnews.com/best-colleges/case-western-reserve-university-3024,44106,"Private, Coed",1826,Urban,$1.7 billion,0.8062,59467
University of California--Santa Barbara,37,"Santa Barbara, CA",https://www.usnews.com/best-colleges/ucsb-1320/photos,21574,https://www.usnews.com/best-colleges/ucsb-1320,93106,"Public, Coed",1909,Suburban,$429.2 million,0.8098,34496
Northeastern University,40,"Boston, MA",https://www.usnews.com/best-colleges/northeastern-university-2199/photos,13473,https://www.usnews.com/best-colleges/northeastern-university-2199,02115,"Private, Coed",1898,Urban,$702.0 million,0.8443,60179
Tulane University,40,"New Orleans, LA",https://www.usnews.com/best-colleges/tulane-university-2029/photos,6377,https://www.usnews.com/best-colleges/tulane-university-2029,70118,"Private, Coed",1834,Urban,$1.2 billion,0.832,62856
Rensselaer Polytechnic Institute,42,"Troy, NY",https://www.usnews.com/best-colleges/rpi-2803/photos,6265,https://www.usnews.com/best-colleges/rpi-2803,12180,"Private, Coed",1824,Suburban,$632.0 million,0.8123,64198
University of California--Irvine,42,"Irvine, CA",https://www.usnews.com/best-colleges/uc-irvine-1314/photos,27331,https://www.usnews.com/best-colleges/uc-irvine-1314,92697,"Public, Coed",1965,Suburban,$625.9 million,0.8809,30796
University of California--San Diego,42,"La Jolla, CA",https://www.usnews.com/best-colleges/ucsd-1317/photos,28127,https://www.usnews.com/best-colleges/ucsd-1317,92093,"Public, Coed",1960,Urban,$1.3 billion +,0.8728,30837
University of Florida,42,"Gainesville, FL",https://www.usnews.com/best-colleges/university-of-florida-1535/photos,34554,https://www.usnews.com/best-colleges/university-of-florida-1535,32611,"Public, Coed",1853,Suburban,$1.5 billion,0.865,20467
Lehigh University,46,"Bethlehem, PA",https://www.usnews.com/best-colleges/lehigh-university-3289/photos,5080,https://www.usnews.com/best-colleges/lehigh-university-3289,18015,"Private, Coed",1865,City,$1.2 billion,0.8755,58541
Pepperdine University,46,"Malibu, CA",https://www.usnews.com/best-colleges/pepperdine-university-1264/photos,3542,https://www.usnews.com/best-colleges/pepperdine-university-1264,90263,"Private, Coed",1937,Suburban,$781.3 million +,0.8402,63482
University of California--Davis,46,"Davis, CA",https://www.usnews.com/best-colleges/uc-davis-1313/photos,29546,https://www.usnews.com/best-colleges/uc-davis-1313,95616,"Public, Coed",1905,City,$1.1 billion +,0.8538,33271
University of Miami,46,"Coral Gables, FL",https://www.usnews.com/best-colleges/university-of-miami-1536/photos,10849,https://www.usnews.com/best-colleges/university-of-miami-1536,33124,"Private, Coed",1925,Suburban,$844.6 million +,0.8161,61666
University of Wisconsin--Madison,46,"Madison, WI",https://www.usnews.com/best-colleges/university-of-wisconsin-3895/photos,31710,https://www.usnews.com/best-colleges/university-of-wisconsin-3895,53706,"Public, Coed",1848,City,$3.1 billion,0.8495,24315
Villanova University,46,"Villanova, PA",https://www.usnews.com/best-colleges/villanova-3388/photos,6999,https://www.usnews.com/best-colleges/villanova-3388,19085,"Private, Coed",1842,Suburban,$563.9 million,0.9037,60556
Pennsylvania State University--University Park,52,"University Park, PA",https://www.usnews.com/best-colleges/penn-state-6965/photos,41359,https://www.usnews.com/best-colleges/penn-state-6965,16802,"Public, Coed",1855,City,$1.8 billion,0.8566,34258
University of Illinois--Urbana-Champaign,52,"Champaign, IL",https://www.usnews.com/best-colleges/uiuc-1775/photos,33932,https://www.usnews.com/best-colleges/uiuc-1775,61820,"Public, Coed",1867,City,$1.6 billion,0.8517,29568
Ohio State University--Columbus,54,"Columbus, OH",https://www.usnews.com/best-colleges/ohio-state-6883/photos,45831,https://www.usnews.com/best-colleges/ohio-state-6883,43210,"Public, Coed",1870,Urban,$3.7 billion,0.8316,25306
University of Georgia,54,"Athens, GA",https://www.usnews.com/best-colleges/university-of-georgia-1598/photos,27951,https://www.usnews.com/best-colleges/university-of-georgia-1598,30602,"Public, Coed",1785,City,$1.0 billion +,0.8526,22536
George Washington University,56,"Washington, DC",https://www.usnews.com/best-colleges/gwu-1444/photos,11504,https://www.usnews.com/best-colleges/gwu-1444,20052,"Private, Coed",1821,Urban,$1.6 billion,0.8308,63159
Purdue University--West Lafayette,56,"West Lafayette, IN",https://www.usnews.com/best-colleges/purdue-1825/photos,30043,https://www.usnews.com/best-colleges/purdue-1825,47907,"Public, Coed",1869,City,$2.2 billion +,0.7462,22581
University of Connecticut,56,"Storrs, CT",https://www.usnews.com/best-colleges/uconn-29013/photos,19324,https://www.usnews.com/best-colleges/uconn-29013,06269,"Public, Coed",1881,Rural,$358.6 million,0.8309,28016
University of Texas--Austin,56,"Austin, TX",https://www.usnews.com/best-colleges/university-of-texas-3658/photos,40168,https://www.usnews.com/best-colleges/university-of-texas-3658,78712,"Public, Coed",1883,Urban,$3.4 billion,0.7965,26119
University of Washington,56,"Seattle, WA",https://www.usnews.com/best-colleges/university-of-washington-3798/photos,30933,https://www.usnews.com/best-colleges/university-of-washington-3798,98195,"Public, Coed",1861,Urban,$3.0 billion +,0.8414,25240
Brigham Young University--Provo,61,"Provo, UT",https://www.usnews.com/best-colleges/byu-3670/photos,30979,https://www.usnews.com/best-colleges/byu-3670,84602,"Private, Coed",1875,City,$1.6 billion,0.8041,17504
Fordham University,61,"New York, NY",https://www.usnews.com/best-colleges/fordham-university-2722/photos,9258,https://www.usnews.com/best-colleges/fordham-university-2722,10023,"Private, Coed",1841,Urban,$614.9 million,0.8051,60867
Southern Methodist University,61,"Dallas, TX",https://www.usnews.com/best-colleges/smu-3613/photos,6521,https://www.usnews.com/best-colleges/smu-3613,75275,"Private, Coed",1911,Urban,$1.4 billion,0.7894,63364
Syracuse University,61,"Syracuse, NY",https://www.usnews.com/best-colleges/syracuse-university-2882/photos,15218,https://www.usnews.com/best-colleges/syracuse-university-2882,13244,"Private, Coed",1870,City,$1.2 billion,0.8136,59047
University of Maryland--College Park,61,"College Park, MD",https://www.usnews.com/best-colleges/university-of-maryland-2103/photos,28472,https://www.usnews.com/best-colleges/university-of-maryland-2103,20742,"Public, Coed",1856,Suburban,$493.3 million +,0.8635,23889
Worcester Polytechnic Institute,61,"Worcester, MA",,4432,https://www.usnews.com/best-colleges/wpi-2233,01609,"Private, Coed",1865,City,$466.3 million +,0.8486,59110
Clemson University,67,"Clemson, SC",https://www.usnews.com/best-colleges/clemson-university-3425/photos,18599,https://www.usnews.com/best-colleges/clemson-university-3425,29634,"Public, Coed",1889,Suburban,$621.3 million,0.8091,26373
University of Pittsburgh,68,"Pittsburgh, PA",https://www.usnews.com/best-colleges/university-of-pittsburgh-3379/photos,19123,https://www.usnews.com/best-colleges/university-of-pittsburgh-3379,15260,"Public, Coed",1787,Urban,$3.5 billion +,0.8165,32754
American University,69,"Washington, DC",,7901,https://www.usnews.com/best-colleges/american-university-1434,20016,"Private, Coed",1893,Suburban,$558.1 million,0.812,58965
Rutgers University--New Brunswick,69,"Piscataway, NJ",https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964/photos,36168,https://www.usnews.com/best-colleges/rutgers-new-brunswick-6964,08854,"Public, Coed",1766,City,$865.9 million,0.8045,29076
Stevens Institute of Technology,69,"Hoboken, NJ",https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639/photos,3021,https://www.usnews.com/best-colleges/stevens-institute-of-technology-2639,07030,"Private, Coed",1870,City,$166.0 million +,0.8162,62385
Texas A&M University--College Station,69,"College Station, TX",https://www.usnews.com/best-colleges/texas-am-college-station-10366/photos,50735,https://www.usnews.com/best-colleges/texas-am-college-station-10366,77843,"Public, Coed",1876,City,$9.9 billion,0.7889,22893
University of Minnesota--Twin Cities,69,"Minneapolis, MN",https://www.usnews.com/best-colleges/university-of-minnesota-3969/photos,34871,https://www.usnews.com/best-colleges/university-of-minnesota-3969,55455,"Public, Coed",1851,Urban,$3.1 billion,0.772,24823
Virginia Tech,69,"Blacksburg, VA",https://www.usnews.com/best-colleges/virginia-tech-3754/photos,25791,https://www.usnews.com/best-colleges/virginia-tech-3754,24061,"Public, Coed",1872,Rural,$835.8 million,0.8334,25837
Baylor University,75,"Waco, TX",https://www.usnews.com/best-colleges/baylor-university-6967/photos,14348,https://www.usnews.com/best-colleges/baylor-university-6967,76798,"Private, Coed",1845,City,$1.2 billion,0.7042,53892
Colorado School of Mines,75,"Golden, CO",https://www.usnews.com/best-colleges/colorado-school-of-mines-1348/photos,4612,https://www.usnews.com/best-colleges/colorado-school-of-mines-1348,80401,"Public, Coed",1874,Suburban,$212.3 million +,0.7654,30990
University of Massachusetts--Amherst,75,"Amherst, MA",https://www.usnews.com/best-colleges/umass-amherst-2221/photos,23373,https://www.usnews.com/best-colleges/umass-amherst-2221,01003,"Public, Coed",1863,Suburban,$287.2 million +,0.7793,26726
Miami University--Oxford,78,"Oxford, OH",https://www.usnews.com/best-colleges/miami-university-7104/photos,16981,https://www.usnews.com/best-colleges/miami-university-7104,45056,"Public, Coed",1809,Rural,$445.8 million,0.7996,29423
Texas Christian University,78,"Fort Worth, TX",https://www.usnews.com/best-colleges/tcu-3636/photos,8891,https://www.usnews.com/best-colleges/tcu-3636,76129,"Private, Coed",1873,Suburban,$1.4 billion,0.7558,53532
University of Iowa,78,"Iowa City, IA",https://www.usnews.com/best-colleges/university-of-iowa-1892/photos,24476,https://www.usnews.com/best-colleges/university-of-iowa-1892,52242,"Public, Coed",1847,City,$1.3 billion,0.7208,20861
Clark University,81,"Worcester, MA",https://www.usnews.com/best-colleges/clark-university-massachusetts-2139/photos,2289,https://www.usnews.com/best-colleges/clark-university-massachusetts-2139,01610,"Private, Coed",1887,City,$369.1 million,0.8285,49958
Florida State University,81,"Tallahassee, FL",https://www.usnews.com/best-colleges/fsu-1489/photos,32929,https://www.usnews.com/best-colleges/fsu-1489,32306,"Public, Coed",1851,City,$584.5 million +,0.7939,21463
